action_id,phase,planned_action,execution_status,evidence_path,observed_result,limitation
A01,Fase 1,Aprobación del Plan de Comunicación,not_evidenced,deliverables/E10-communications-plan/final/e10-communications-plan-v2026-02-03.md,Plan final publicado,"Falta acta, acuerdo o evidencia equivalente del comité de dirección"
A02,Fase 1,Definición de flujos técnico-a-marketing y programación de entregables,not_evidenced,deliverables/E10-communications-plan/final/e10-communications-plan-v2026-02-03.md,Actividad planificada,No se conserva evidencia específica de ejecución
A03,Fase 1,Desarrollo de imagen del proyecto y plantillas de comunicación,partially_evidenced,deliverables/E12-communications-impact/final/e12-reporte-final-difusion-impacto-v1-0.md,La comunicación publicada utiliza identidad visual,Las capturas completas permanecen en la fuente controlada pendiente de revisión de privacidad
A04,Fase 1,Primer webinar de posicionamiento,not_evidenced,deliverables/E10-communications-plan/final/e10-communications-plan-v2026-02-03.md,Actividad planificada,No se identifica un webinar diferenciado con evidencia pública
A05,Fase 1,Definición de arquitectura y estructura del sitio web,executed_evidenced,deliverables/E11-website/final/e11-website-publication-report.md,Diseño y estructura documentados,La estructura declarada no equivale a validación funcional completa
A06,Fase 2,Material 1 - contexto CSRD y necesidades de datos ESG,not_evidenced,deliverables/E10-communications-plan/final/e10-communications-plan-v2026-02-03.md,Actividad planificada,No existe artefacto público identificado de forma inequívoca como Material 1
A07,Fase 2,Material 2 - arquitectura del espacio de datos,not_evidenced,deliverables/E10-communications-plan/final/e10-communications-plan-v2026-02-03.md,Actividad planificada,No existe artefacto público identificado de forma inequívoca como Material 2
A08,Fase 2,Material 3 - gobernanza y soberanía de datos,not_evidenced,deliverables/E10-communications-plan/final/e10-communications-plan-v2026-02-03.md,Actividad planificada,No existe artefacto público identificado de forma inequívoca como Material 3
A09,Fase 2,Cadencia de contenidos en LinkedIn,executed_evidenced,deliverables/E12-communications-impact/final/e12-reporte-final-difusion-impacto-v1-0.md,10 publicaciones y métricas transcritas,Sin línea base causal
A10,Fase 2,Cadencia de contenidos en blog,not_evidenced,deliverables/E10-communications-plan/final/e10-communications-plan-v2026-02-03.md,Actividad planificada,No se conserva inventario público de entradas de blog
A11,Fase 2,Sesiones técnicas y talleres con grupos de interés,executed_evidenced,deliverables/E07-workshops/final/e07-actas-conclusiones-talleres-v1-0.md,Un taller interno y uno externo documentados,La grabación interna permanece restringida
A12,Fase 3,Lanzamiento del sitio web,executed_evidenced,deliverables/E11-website/evidence/official-url.md,URL alcanzable por HEAD y GET el 2026-06-23,No acredita disponibilidad continua ni funcionalidad completa
A13,Fase 3,Materiales 4-6 - casos de uso impacto y recomendaciones,executed_evidenced,deliverables/E08-use-cases/final/e08-casos-de-uso-y-prioridades-sectoriales.md; deliverables/E12-communications-impact/final/e12-reporte-final-difusion-impacto-v1-0.md; deliverables/E13-roadmap-scalability/final/e13-informe-final-recomendaciones-futuro-espacio-datos-v1-0.md,Casos de uso reporte de impacto y recomendaciones publicados,No se fuerza una numeración histórica de materiales no demostrada
A14,Fase 3,Segundo ciclo de webinars con orientación internacional,not_evidenced,deliverables/E10-communications-plan/final/e10-communications-plan-v2026-02-03.md,Actividad planificada,No se identifica evidencia pública de un segundo ciclo de webinars
A15,Fase 3,Mayor presencia en eventos sectoriales y foros europeos,partially_evidenced,deliverables/E12-communications-impact/final/e12-reporte-final-difusion-impacto-v1-0.md,Difusión mediante DIRSE declarada,La publicación colaboradora no demuestra por sí sola presencia en eventos o foros
A16,Fase 3,Informe final de difusión e impacto e informe de recomendaciones,executed_evidenced,deliverables/E12-communications-impact/final/e12-reporte-final-difusion-impacto-v1-0.md; deliverables/E13-roadmap-scalability/final/e13-informe-final-recomendaciones-futuro-espacio-datos-v1-0.md,E12 y E13 publicados,Los límites de evidencia de cada informe permanecen explícitos
X01,Ejecución transversal,Campaña de correo electrónico con seis envíos,executed_evidenced,deliverables/E12-communications-impact/final/e12-reporte-final-difusion-impacto-v1-0.md,Una campaña ejecutada mediante seis envíos y métricas transcritas,La actividad ejecutada se registra aunque no figure como acción independiente en el cronograma E10
