identifier,variable,area_esg,estandar,codeESRS,codeGRI,unidad,tipo_unidad,frecuencia,tipo_valor,definicion,origen_definicion,origen_dato_operativo,evaluacion_doble_materialidad
urn:sds:reg:esrs:bp_1_01,Basis for preparation of sustainability statement,Transversal/General,ESRS/CSRD,BP-1_01,,Text,Text,annual,semi-narrative,"Disclosure datapoint as defined in IG3 (ESRS 2 BP-1, paragraph 5.a).",external-standard,entity-specific,entity-assessment-required
urn:sds:reg:esrs:bp_1_02,Scope of consolidation of consolidated sustainability statement is same as for financial statements,Transversal/General,ESRS/CSRD,BP-1_02,,Boolean,Boolean,annual,boolean,"Disclosure datapoint as defined in IG3 (ESRS 2 BP-1, paragraph 5.b.i).",external-standard,entity-specific,entity-assessment-required
urn:sds:reg:esrs:bp_1_03,Indication of subsidiary undertakings included in consolidation that are exempted from individual or consolidated sustainability reporting,Transversal/General,ESRS/CSRD,BP-1_03,,Text,Text,annual,narrative,"Disclosure datapoint as defined in IG3 (ESRS 2 BP-1, paragraph 5.b.ii).",external-standard,entity-specific,entity-assessment-required
urn:sds:reg:esrs:bp_1_04,Disclosure of extent to which sustainability statement covers upstream and downstream value chain,Transversal/General,ESRS/CSRD,BP-1_04,,Text,Text,annual,narrative,"Disclosure datapoint as defined in IG3 (ESRS 2 BP-1, paragraph 5.c).",external-standard,entity-specific,entity-assessment-required
urn:sds:reg:esrs:bp_1_05,"Option to omit specific piece of information corresponding to intellectual property, know-how or results of innovation has been used",Transversal/General,ESRS/CSRD,BP-1_05,,Boolean,Boolean,annual,boolean,"Disclosure datapoint as defined in IG3 (ESRS 2 BP-1, paragraph 5.d).",external-standard,entity-specific,entity-assessment-required
urn:sds:reg:esrs:bp_1_06,Option allowed by Member State to omit disclosure of impending developments or matters in course of negotiation has been used,Transversal/General,ESRS/CSRD,BP-1_06,,Boolean,Boolean,annual,boolean,"Disclosure datapoint as defined in IG3 (ESRS 2 BP-1, paragraph 5.e).",external-standard,entity-specific,entity-assessment-required
urn:sds:reg:esrs:bp_2_01,Disclosure of definitions of medium- or long-term time horizons,Transversal/General,ESRS/CSRD,BP-2_01,,year,Time,annual,numeric,"Disclosure datapoint as defined in IG3 (ESRS 2 BP-2, paragraph 9.a).",external-standard,entity-specific,entity-assessment-required
urn:sds:reg:esrs:bp_2_02,Disclosure of reasons for applying different definitions of time horizons,Transversal/General,ESRS/CSRD,BP-2_02,,Text,Text,annual,narrative,"Disclosure datapoint as defined in IG3 (ESRS 2 BP-2, paragraph 9.b).",external-standard,entity-specific,entity-assessment-required
urn:sds:reg:esrs:bp_2_03,Disclosure of metrics that include value chain data estimated using indirect sources,Transversal/General,ESRS/CSRD,BP-2_03,,Text,Text,annual,semi-narrative,"Disclosure datapoint as defined in IG3 (ESRS 2 BP-2, paragraph 10.a).",external-standard,entity-specific,entity-assessment-required
urn:sds:reg:esrs:bp_2_04,Description of basis for preparation of metrics that include value chain data estimated using indirect sources,Transversal/General,ESRS/CSRD,BP-2_04,,Text,Text,annual,narrative,"Disclosure datapoint as defined in IG3 (ESRS 2 BP-2, paragraph 10.b).",external-standard,entity-specific,entity-assessment-required
urn:sds:reg:esrs:bp_2_05,Description of resulting level of accuracy of metrics that include value chain data estimated using indirect sources,Transversal/General,ESRS/CSRD,BP-2_05,,Text,Text,annual,narrative,"Disclosure datapoint as defined in IG3 (ESRS 2 BP-2, paragraph 10.c).",external-standard,entity-specific,entity-assessment-required
urn:sds:reg:esrs:bp_2_06,Description of planned actions to improve accuracy in future of metrics that include value chain data estimated using indirect sources,Transversal/General,ESRS/CSRD,BP-2_06,,Text,Text,annual,narrative,"Disclosure datapoint as defined in IG3 (ESRS 2 BP-2, paragraph 10.d).",external-standard,entity-specific,entity-assessment-required
urn:sds:reg:esrs:bp_2_07,Disclosure of quantitative metrics and monetary amounts disclosed that are subject to high level of measurement uncertainty,Transversal/General,ESRS/CSRD,BP-2_07,,Text,Text,annual,semi-narrative,"Disclosure datapoint as defined in IG3 (ESRS 2 BP-2, paragraph 11.a).",external-standard,entity-specific,entity-assessment-required
urn:sds:reg:esrs:bp_2_08,Disclosure of sources of measurement uncertainty,Transversal/General,ESRS/CSRD,BP-2_08,,Text,Text,annual,narrative,"Disclosure datapoint as defined in IG3 (ESRS 2 BP-2, paragraph 11.b.i).",external-standard,entity-specific,entity-assessment-required
urn:sds:reg:esrs:bp_2_09,"Disclosure of assumptions, approximations and judgements made in measurement",Transversal/General,ESRS/CSRD,BP-2_09,,Text,Text,annual,narrative,"Disclosure datapoint as defined in IG3 (ESRS 2 BP-2, paragraph 11.b.ii).",external-standard,entity-specific,entity-assessment-required
urn:sds:reg:esrs:bp_2_10,Explanation of changes in preparation and presentation of sustainability information and reasons for them,Transversal/General,ESRS/CSRD,BP-2_10,,Text,Text,annual,narrative,"Disclosure datapoint as defined in IG3 (ESRS 2 BP-2, paragraph 13.a).",external-standard,entity-specific,entity-assessment-required
urn:sds:reg:esrs:bp_2_11,Adjustment of comparative information for one or more prior periods is impracticable,Transversal/General,ESRS/CSRD,BP-2_11,,Boolean,Boolean,annual,boolean,"Disclosure datapoint as defined in IG3 (ESRS 2 BP-2, paragraph 13.b).",external-standard,entity-specific,entity-assessment-required
urn:sds:reg:esrs:bp_2_12,Disclosure of difference between figures disclosed in preceding period and revised comparative figures,Transversal/General,ESRS/CSRD,BP-2_12,,Boolean,Boolean,annual,boolean,"Disclosure datapoint as defined in IG3 (ESRS 2 BP-2, paragraph 13.b.13.c).",external-standard,entity-specific,entity-assessment-required
urn:sds:reg:esrs:bp_2_13,Disclosure of nature of prior period material errors,Transversal/General,ESRS/CSRD,BP-2_13,,Text,Text,annual,narrative,"Disclosure datapoint as defined in IG3 (ESRS 2 BP-2, paragraph 14.a).",external-standard,entity-specific,entity-assessment-required
urn:sds:reg:esrs:bp_2_14,Disclosure of corrections for prior periods included in sustainability statement,Transversal/General,ESRS/CSRD,BP-2_14,,Text,Text,annual,narrative,"Disclosure datapoint as defined in IG3 (ESRS 2 BP-2, paragraph 14.b).",external-standard,entity-specific,entity-assessment-required
urn:sds:reg:esrs:bp_2_15,Disclosure of why correction of prior period errors is not practicable,Transversal/General,ESRS/CSRD,BP-2_15,,Text,Text,annual,narrative,"Disclosure datapoint as defined in IG3 (ESRS 2 BP-2, paragraph 14.c).",external-standard,entity-specific,entity-assessment-required
urn:sds:reg:esrs:bp_2_16,Disclosure of other legislation or generally accepted sustainability reporting standards and frameworks based on which information has been included in sustainability statement,Transversal/General,ESRS/CSRD,BP-2_16,,Text,Text,annual,narrative,"Disclosure datapoint as defined in IG3 (ESRS 2 BP-2, paragraph 15).",external-standard,entity-specific,entity-assessment-required
