feedback_id,workshop_id,workshop_date,stakeholder_category,observation,priority,e8_case,e9_adjustment,disposition,evidence_boundary
F01,W1,2025-11-25,"ecosistema de datos; academia; centros tecnológicos; empresas","La fragmentación entre estándares y las diferencias de definición dificultan la comparabilidad.",alta,"UC-01; UC-02; UC-03","A3; A4","incorporado","Síntesis consolidada del acta; no atribuida a una persona."
F02,W1,2025-11-25,"ecosistema de datos; academia; centros tecnológicos; empresas","La duplicidad de reporting debe reducirse mediante datos primitivos y reglas trazables.",alta,"UC-01; UC-02; UC-03","A1; A2","incorporado","Síntesis consolidada del acta; no demuestra automatización completa."
F03,W1,2025-11-25,"empresas; expertos en espacios de datos","La soberanía, el control de acceso y la compartición segura son condiciones de adopción.",alta,"UC-05; UC-06","A7; A9","incorporado","Síntesis consolidada del acta."
F04,W1,2025-11-25,"ecosistema de datos; academia; empresas","La trazabilidad, calidad y fiabilidad deben ser visibles antes de reutilizar información.",alta,"UC-01; UC-02; UC-03; UC-04; UC-05; UC-06","A4; A5","incorporado","Síntesis consolidada del acta."
F05,W1,2025-11-25,"centros tecnológicos; academia; empresas","La arquitectura debe ser federada y permitir evolución controlada.",media-alta,"UC-01; UC-02; UC-03; UC-04; UC-05; UC-06","A10","incorporado","Decisión de orientación; no prueba despliegue federado."
F06,W1,2025-11-25,"agroalimentación; energía; movilidad; salud","Los pilotos deben priorizar casos de uso multisectoriales y escalonarse por madurez.",alta,"UC-01; UC-02; UC-03; UC-04; UC-05; UC-06","A8","incorporado","Priorización consolidada; no equivale a pilotos ejecutados."
F07,W2,2026-06-18,"equipo técnico y funcional interno","Las correspondencias entre marcos solo deben resolverse cuando exista relación o contrato revisado y compatible.",alta,"UC-01; UC-02; UC-03","A3; A4","incorporado","Conclusión de transferencia interna; no atribuida individualmente."
F08,W2,2026-06-18,"equipo técnico y funcional interno","Los estados de calidad, evidencia y revisión deben distinguir datos utilizables de conclusiones publicables.",alta,"UC-01; UC-02; UC-03; UC-04; UC-05; UC-06","A4; A5","incorporado","Síntesis consolidada de preguntas y debate."
F09,W2,2026-06-18,"equipo técnico y funcional interno","El uso por terceros, incluidas aplicaciones de IA, debe permanecer sujeto a finalidad, permiso y revisión humana.",alta,"UC-05; UC-06","A6; A7","incorporado","Criterio de gobernanza; no demuestra enforcement integral por conector."
F10,W2,2026-06-18,"equipo técnico y funcional interno","La complejidad técnica requiere transferencia de conocimiento, documentación y despliegue progresivo.",media,"UC-01; UC-02; UC-03; UC-04; UC-05; UC-06","A8; A10","incorporado","Resultado interno de capacitación; no sustituye validación externa."
