deliverable_id,title,status,canonical_path,version,date,sha256,privacy_classification,private_source_ref
E01,"Mapeo de Datos, Normativas y Estándares",published-local,deliverables/E01-mapeo-datos-normativas/final/e01-inventario-datos-clave-variables-brutas-v2026-06-09.md,V1.0,2026-06-18,d65f3cade8655b9d36bef6d01dbeeeae8d65821a59ab573fba164fbcb2cca46d,public,SOURCE_E01_PRIVATE_VAULT
E02,Interoperabilidad y correspondencias,published-local,deliverables/E02-interoperabilidad-crosswalks/final/e02-informe-interoperabilidad-correspondencias-v2026-06-09.md,V1.0,2026-06-18,1466d81d3b53dd1e715d2f54b6e0645430a2360eb02a38ba0643762fec4c61f2,public,SOURCE_E02_PRIVATE_VAULT
E03,Modelo común NGSI-LD,published-local,deliverables/E03-modelo-ngsi-ld/final/e03-modelo-comun-ngsi-ld-paquete-semantico-v2026-06-09.md,V1.0,2026-06-18,0c9589774fc67c4fcba3aaffc58064d663f305caa5450009c78b9a2dfee4a2a3,public,SOURCE_E03_PRIVATE_VAULT
E04,Prototipo API y transformación de datos,published-local,deliverables/E04-api-prototype/final/e04-prototipo-api-transformacion-datos-v2026-06-09.md,V1.0,2026-06-18,ce252ba4242030bfa8d1284e483466f8b0412f42cb968c4b373f35cdf7e21c68,public,SOURCE_E04_PRIVATE_VAULT
E05,Código técnico del modelo,published-local,deliverables/E05-technical-code/final/e05-codigo-tecnico-modelo-v2026-06-09.md,V1.0,2026-06-18,f728736541ffeedd7641f7757a6718fec91f5b8d73977f530b4912853fd99009,public,SOURCE_E05_PRIVATE_VAULT
E06,Gobernanza y política de datos,published-local,deliverables/E06-governance/final/e06-gobernanza-politica-datos-v2026-06-09.md,V1.0,2026-06-18,03cd6bcf5bc02e4d94cd65c16cb6391fa5bdd6b04b5be4a363cd979616efd72a,public,SOURCE_E06_PRIVATE_VAULT
E06-EN,Governance Model (English source),published-local,deliverables/E06-governance/final/e06-gobernanza-y-politica-de-datos.md,V2026-06-09,2026-06-09,49a589bfa6dc03db09ee2f864cdd60656f2f10839c4cbeabea8b1ba7efcb8cb8,public,SOURCE_E06_PRIVATE_VAULT
E07,Workshops,published-local,deliverables/E07-workshops/final/e07-actas-conclusiones-talleres-v1-0.md,V1.0,2026-06-18,0a8cf91724c9f5823c4289d53fec4c2ae5d5d5dd8e3773680c8e34b2f085a713,public,SOURCE_E07_CONTROLLED_DOCX_20260710
E08,Casos de uso y prioridades sectoriales,published-local,deliverables/E08-use-cases/final/e08-casos-de-uso-y-prioridades-sectoriales.md,V1.0,2026-06-18,96f963964b9ae479e3ea6a54b76ca2b2da33e54621b1947cc52394c985f7cba3,public,SOURCE_E08_PRIVATE_VAULT
E09,Ajustes al marco de gobernanza y diseño técnico,published-local,deliverables/E09-adjustments/final/e09-adjustments-report-v2026-02-03.md,V1.0,2026-06-18,43857dc402d42f633e15bd59cf276ddc07777da4e3032a67fc464947a8360e86,public,SOURCE_E09_PRIVATE_VAULT
E10,Communications Plan,published-local,deliverables/E10-communications-plan/final/e10-communications-plan-v2026-02-03.md,V1.0,2026-06-18,8a0e5cd0d36ca27cbcc186ab4d04ca4b3012a0ed32f81bfd55289834314097ea,public,SOURCE_E10_PRIVATE_VAULT
E11,Website,official-url-recorded,deliverables/E11-website/final/e11-website-publication-report.md,V2026-07-22,2026-07-22,d8389955b8cc1efb510383564fd9b0f26f6c49ff1b740fe63f81d99c4edea606,public,OFFICIAL_URL_1
E12,Communications Impact,published-local,deliverables/E12-communications-impact/final/e12-reporte-final-difusion-impacto-v1-0.md,V1.0,2026-06-18,16d756ab6dedd9e103a3f8e93febf489ed85de43ae57405517411aac6d64fb2f,sanitized-public,SOURCE_E12_CONTROLLED_DOCX_20260710
E13,"Roadmap, Scalability, Sustainability, and Interoperability",published-local,deliverables/E13-roadmap-scalability/final/e13-informe-final-recomendaciones-futuro-espacio-datos-v1-0.md,V1.0,2026-06-18,425bd752f85f7aa83eb58838594b9898ac181fe24501ca9ede63891851ed6a27,sanitized-public,SOURCE_E13_CONTROLLED_DOCX_20260710
