standard,standard_area,source_version,scope_or_group,role_count,base_nodes,closed_dimensions,member_counts,formula,reportable_coordinates,technical_coordinates,typed_open_dimensions,excluded_repetitions,source_locator,notes,role_codes
ESRS,E1,EFRAG ESRS Set 1 XBRL taxonomy 2024-08-30,E1 taxonomy roles 301067,1,2,Country; CurrentlyStatedBaselineMilestonesOrTargetYears,1; 3,2 x 1 x 3,6,6,,period; perimeter; entity; site; location; company master data; ReportingScopeAxis current/previous-restatement axis,role-301067,ReportingScopeAxis excluded from headline,301067
ESRS,E1,EFRAG ESRS Set 1 XBRL taxonomy 2024-08-30,E1 taxonomy roles 301064,1,8,Country; SourceType; GHGCategory; CurrentlyStatedBaselineMilestonesOrTargetYears; NACEEconomicActivities,1; 5; 9; 8; 1,8 x 1 x 5 x 9 x 8 x 1,2880,2880,,period; perimeter; entity; site; location; company master data; ReportingScopeAxis current/previous-restatement axis,role-301064,E1 target/emissions pathway axis counted by explicit members only; abstract current/root member not duplicated; ReportingScopeAxis excluded from headline,301064
ESRS,E1,EFRAG ESRS Set 1 XBRL taxonomy 2024-08-30,"E1 taxonomy roles 301051, 301063, 301069, 301071",4,63,CurrentlyStatedBaselineMilestonesOrTargetYears,3,63 x 3,189,189,,period; perimeter; entity; site; location; company master data; ReportingScopeAxis current/previous-restatement axis,role-301051;role-301063;role-301069;role-301071,ReportingScopeAxis excluded from headline,301051;301063;301069;301071
ESRS,E1,EFRAG ESRS Set 1 XBRL taxonomy 2024-08-30,E1 taxonomy roles 301043,1,5,CurrentlyStatedBaselineMilestonesOrTargetYears,8,5 x 8,40,40,,period; perimeter; entity; site; location; company master data; ReportingScopeAxis current/previous-restatement axis,role-301043,E1 target/emissions pathway axis counted by explicit members only; abstract current/root member not duplicated; ReportingScopeAxis excluded from headline,301043
ESRS,E1,EFRAG ESRS Set 1 XBRL taxonomy 2024-08-30,E1 taxonomy roles 301042,1,38,CurrentlyStatedBaselineMilestonesOrTargetYears; IdentifierOfTargetTyped,2; 1,38 x 2 x 1,76,76,IdentifierOfTargetTyped,period; perimeter; entity; site; location; company master data; ReportingScopeAxis current/previous-restatement axis,role-301042,E1 target/emissions pathway axis counted by explicit members only; abstract current/root member not duplicated; ReportingScopeAxis excluded from headline,301042
ESRS,E1,EFRAG ESRS Set 1 XBRL taxonomy 2024-08-30,E1 taxonomy roles 301073,1,1,CurrentlyStatedBaselineMilestonesOrTargetYears; NameOfRecognisedQualityStandardTyped,3; 1,1 x 3 x 1,3,3,NameOfRecognisedQualityStandardTyped,period; perimeter; entity; site; location; company master data; ReportingScopeAxis current/previous-restatement axis,role-301073,ReportingScopeAxis excluded from headline,301073
ESRS,E1,EFRAG ESRS Set 1 XBRL taxonomy 2024-08-30,"E1 taxonomy roles 301046, 301048",2,34,DecarbonisationLever; GHGCategory; CurrentlyStatedBaselineMilestonesOrTargetYears,9; 9; 8,34 x 9 x 9 x 8,22032,22032,,period; perimeter; entity; site; location; company master data; ReportingScopeAxis current/previous-restatement axis,role-301046;role-301048,E1 target/emissions pathway axis counted by explicit members only; abstract current/root member not duplicated; ReportingScopeAxis excluded from headline,301046;301048
ESRS,E1,EFRAG ESRS Set 1 XBRL taxonomy 2024-08-30,E1 taxonomy roles 301047,1,10,DecarbonisationLever; GHGCategory; CurrentlyStatedBaselineMilestonesOrTargetYears; TypeOfIntensityValueDenominatorTyped,9; 9; 8; 1,10 x 9 x 9 x 8 x 1,6480,6480,TypeOfIntensityValueDenominatorTyped,period; perimeter; entity; site; location; company master data; ReportingScopeAxis current/previous-restatement axis,role-301047,E1 target/emissions pathway axis counted by explicit members only; abstract current/root member not duplicated; ReportingScopeAxis excluded from headline,301047
ESRS,E1,EFRAG ESRS Set 1 XBRL taxonomy 2024-08-30,E1 taxonomy roles 301099,1,1,EnergyEfficiencyClassTyped,1,1 x 1,1,1,EnergyEfficiencyClassTyped,period; perimeter; entity; site; location; company master data; ReportingScopeAxis current/previous-restatement axis,role-301099,ReportingScopeAxis excluded from headline,301099
ESRS,E1,EFRAG ESRS Set 1 XBRL taxonomy 2024-08-30,E1 taxonomy roles 301062,1,4,FinancialAndOperationalControl; CurrentlyStatedBaselineMilestonesOrTargetYears,3; 3,4 x 3 x 3,36,36,,period; perimeter; entity; site; location; company master data; ReportingScopeAxis current/previous-restatement axis,role-301062,ReportingScopeAxis excluded from headline,301062
ESRS,E1,EFRAG ESRS Set 1 XBRL taxonomy 2024-08-30,E1 taxonomy roles 301082,1,6,GHGEmissionsCoveredByInternalCarbonPricingScheme; TypeOfInternalCarbonPricingScheme; CurrentlyStatedBaselineMilestonesOrTargetYears,2; 6; 3,6 x 2 x 6 x 3,216,216,,period; perimeter; entity; site; location; company master data; ReportingScopeAxis current/previous-restatement axis,role-301082,ReportingScopeAxis excluded from headline,301082
